# ATLANTIC COUNTY
Ventnor 1st Annual Food Truck Festival | Ventnor City | Sep 4-6 | Ski Beach | Sept 4 and 5: 3–9 PM; Sept 6: 3–6 PM. Multiple food trucks and live music.
Hanover Township PBA Food, Wine & Brew Festival | Whippany | Sep 26 | Bee Meadow Park | Noon–6 PM. Food, wine and beer.
Boonton Labor Day Parade & Carnival | Boonton | Sep 3-6 |  | Food, rides, live music and fireworks over Labor Day weekend.

# OCEAN COUNTY
Street Eats & Brews Festival | New Egypt | Sep 26-27 | Dancer Farm | Food trucks and craft brews at Dancer Farm.
Lacey Elks Labor Day Food Trucks & Live Music | Forked River | Sep 7 |  | 10 AM–9 PM. Food trucks, live bands and family activities.
Comfort Food Festival | Toms River | Sep 19 | Downtown Toms River | Noon–6 PM. Comfort food and vendors downtown.

# PASSAIC COUNTY
Wallisch Homestead Fall Flea & Vintage Marketplace | West Milford | Sep 20 | Wallisch Homestead | Vintage and flea market vendors with a food and vendor component.
Clifton Food Truck & Music Festival | Clifton | Sep 6 | Clifton Municipal Complex | 11 AM–7 PM. Food trucks, live bands, beer and wine garden, car show and children's zone.
West Milford Food Truck & Family Fun Festival | West Milford | Sep 12 | Wallisch Homestead | 11 AM–7 PM. Food trucks and family activities.

# SALEM COUNTY
Pennsville Septemberfest | Pennsville | Sep 12 |  | Food vendors, crafts, live music, rides and fireworks.

# SOMERSET COUNTY
Raritan Borough Food Truck & Music Festival | Raritan | Sep 26 | Washington School Park | 11 AM–7 PM. Food trucks and live music.
Pork Roll vs. Taylor Ham Food & Music Festival | Hillsborough | Sep 12 | Iron Peak Sports Complex | Noon–7 PM. Food battles, live music, beer garden, wrestling and a Kids Adventure Zone.

# SUSSEX COUNTY
Dream Asia Festival | Augusta | Sep 5-7 | Sussex County Fairgrounds | Three-day Asian cultural celebration with food, music and vendors.
Sussex County Day | Augusta | Sep 20 | Sussex County Fairgrounds | Food trucks, classic cars, vendors, live music and kids activities.

# UNION COUNTY
Fanny Wood Day Street Fair & Food Truck Fest | Fanwood | Sep 27 | South Avenue & Martine Avenue | 10 AM–5 PM. Food trucks, street fair and vendors.
Many Flavors of Linden Fall Festival | Linden | Sep 26 | Linden City Hall | 1–9 PM. International and cultural food, vendors and entertainment.

# WARREN COUNTY
Sweet Corn & Garlic Festival | Hackettstown | Sep 12 | Donaldson Farms | Noon–7 PM. Food, agriculture and family activities.
Hackettstown Oktoberfest | Hackettstown | Sep 26-27 |  | Food trucks, craft beer, live entertainment and a kids zone.
